Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
790,Simon Ebonog,cm CMR,MF,Le Havre,fr Ligue 1,18,2004,4,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
791,Festy Ebosele,ie IRL,DF,Udinese,it Serie A,20,2002,31,20,1700,18.9,0,0,0,0,0,0,6,1,0.8,0.8,1.8,2.6,67,35,98,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.14,0.04,0.14
792,Enzo Ebosse,cm CMR,DF,Udinese,it Serie A,24,1999,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
793,Tyronne Ebuehi,ng NGA,DF,Empoli,it Serie A,27,1995,15,11,1099,12.2,0,1,1,0,0,0,0,0,0.3,0.3,0.9,1.2,34,37,35,0.00,0.08,0.08,0.00,0.08,0.02,0.07,0.10,0.02,0.10
794,Ederson,br BRA,GK,Manchester City,eng Premier League,29,1993,33,33,2785,30.9,0,0,0,0,0,0,5,0,0.0,0.0,0.1,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
795,Éderson,br BRA,MF,Atalanta,it Serie A,24,1999,36,32,2869,31.9,6,1,7,6,0,0,8,0,3.5,3.5,1.4,4.9,32,214,50,0.19,0.03,0.22,0.19,0.22,0.11,0.04,0.15,0.11,0.15
796,Odsonne Édouard,fr FRA,"FW,MF",Crystal Palace,eng Premier League,25,1998,30,17,1555,17.3,7,0,7,7,0,0,4,0,6.2,6.2,1.2,7.4,33,36,100,0.41,0.00,0.41,0.41,0.41,0.36,0.07,0.43,0.36,0.43
797,John Egan,ie IRL,DF,Sheffield Utd,eng Premier League,30,1992,6,6,482,5.4,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,0,5,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
798,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,26,1996,33,33,2914,32.4,1,2,3,1,0,0,6,0,2.4,2.4,2.8,5.2,42,162,72,0.03,0.06,0.09,0.03,0.09,0.07,0.09,0.16,0.07,0.16
799,Lilian Egloff,de GER,"MF,DF",Stuttgart,de Bundesliga,20,2002,5,1,106,1.2,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,2,2,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15
800,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,28,1995,23,11,955,10.6,0,1,1,0,0,0,4,0,1.3,1.3,0.7,2.0,18,15,44,0.00,0.09,0.09,0.00,0.09,0.12,0.07,0.19,0.12,0.19
801,Hjalmar Ekdal,se SWE,DF,Burnley,eng Premier League,24,1998,8,5,437,4.9,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,5,11,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03
802,Hugo Ekitike,fr FRA,FW,Paris S-G,fr Ligue 1,21,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.30
803,Hugo Ekitike,fr FRA,FW,Eint Frankfurt,de Bundesliga,21,2002,14,7,716,8.0,4,2,6,4,0,0,3,0,2.4,2.4,1.7,4.1,16,9,60,0.50,0.25,0.75,0.50,0.75,0.30,0.21,0.51,0.30,0.51
804,Emmanuel Ekong,se SWE,FW,Empoli,it Serie A,21,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.19,0.00,0.19
805,Caleb Ekuban,gh GHA,FW,Genoa,it Serie A,29,1994,29,10,1131,12.6,4,1,5,4,0,0,0,0,2.9,2.9,1.4,4.2,14,15,93,0.32,0.08,0.40,0.32,0.40,0.23,0.11,0.34,0.23,0.34
806,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,eng Premier League,21,2002,36,25,2433,27.0,5,9,14,5,0,0,1,0,6.6,6.6,6.7,13.3,98,49,196,0.18,0.33,0.52,0.18,0.52,0.24,0.25,0.49,0.24,0.49
807,Simon Elisor,fr FRA,FW,Metz,fr Ligue 1,24,1999,14,9,767,8.5,1,0,1,1,0,1,1,0,2.3,1.5,0.9,2.4,9,14,43,0.12,0.00,0.12,0.12,0.12,0.27,0.11,0.38,0.18,0.29
808,Harvey Elliott,eng ENG,"MF,FW",Liverpool,eng Premier League,20,2003,34,11,1352,15.0,3,6,9,3,0,0,2,0,2.7,2.7,3.5,6.2,44,128,122,0.20,0.40,0.60,0.20,0.60,0.18,0.23,0.42,0.18,0.42
809,Elif Elmas,mk MKD,"FW,MF",Napoli,it Serie A,23,1999,11,4,339,3.8,2,0,2,2,0,0,2,0,0.5,0.5,0.2,0.7,14,16,26,0.53,0.00,0.53,0.53,0.53,0.13,0.06,0.19,0.13,0.19
810,Elif Elmas,mk MKD,"MF,FW",RB Leipzig,de Bundesliga,23,1999,14,2,266,3.0,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,9,9,18,0.00,0.00,0.00,0.00,0.00,0.27,0.04,0.31,0.27,0.31
811,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,31,1992,3,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26
812,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,29,1994,15,7,812,9.0,0,1,1,0,0,0,2,0,0.3,0.3,0.6,0.9,4,31,2,0.00,0.11,0.11,0.00,0.11,0.03,0.07,0.10,0.03,0.10
813,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,26,1996,30,28,2482,27.6,2,1,3,2,0,0,5,0,1.6,1.6,0.1,1.7,37,109,6,0.07,0.04,0.11,0.07,0.11,0.06,0.00,0.06,0.06,0.06
814,Adri Embarba,es ESP,"FW,MF",Almería,es La Liga,31,1992,36,29,2476,27.5,3,2,5,2,1,1,5,0,4.3,3.5,4.4,8.0,94,58,167,0.11,0.07,0.18,0.07,0.15,0.16,0.16,0.32,0.13,0.29
815,Breel Embolo,ch SUI,FW,Monaco,fr Ligue 1,26,1997,5,2,182,2.0,1,0,1,1,0,0,0,0,0.7,0.7,0.1,0.8,8,7,20,0.49,0.00,0.49,0.49,0.49,0.35,0.06,0.41,0.35,0.41
816,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,20,2003,28,23,2078,23.1,8,1,9,8,0,1,3,0,10.8,10.0,0.4,10.4,24,11,115,0.35,0.04,0.39,0.35,0.39,0.47,0.02,0.49,0.43,0.45
817,Emerson,br BRA,DF,Tottenham,eng Premier League,24,1999,22,11,1161,12.9,1,0,1,1,0,0,4,0,0.2,0.2,0.4,0.6,21,57,35,0.08,0.00,0.08,0.08,0.08,0.02,0.03,0.05,0.02,0.05
818,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,26,1997,33,28,2570,28.6,16,2,18,15,1,1,4,0,10.8,10.0,1.3,11.3,17,17,81,0.56,0.07,0.63,0.53,0.60,0.38,0.04,0.42,0.35,0.40
819,Julio Enciso,py PAR,"MF,FW",Brighton,eng Premier League,19,2004,12,5,475,5.3,0,2,2,0,0,0,2,0,1.4,1.4,1.7,3.2,28,21,29,0.00,0.38,0.38,0.00,0.38,0.27,0.32,0.59,0.27,0.59
820,Wataru Endo,jp JPN,MF,Liverpool,eng Premier League,30,1993,29,20,1722,19.1,1,0,1,1,0,0,10,0,0.5,0.5,1.7,2.3,10,101,21,0.05,0.00,0.05,0.05,0.05,0.03,0.09,0.12,0.03,0.12
821,Arne Engels,be BEL,"MF,DF",Augsburg,de Bundesliga,19,2003,32,13,1405,15.6,3,2,5,3,0,0,1,1,1.8,1.8,1.2,3.0,23,52,62,0.19,0.13,0.32,0.19,0.32,0.12,0.08,0.19,0.12,0.19
822,Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,31,1992,22,12,1141,12.7,1,2,3,1,0,0,1,0,1.0,1.0,2.3,3.3,20,68,23,0.08,0.16,0.24,0.08,0.24,0.08,0.18,0.26,0.08,0.26
823,Martin Erlic,hr CRO,DF,Sassuolo,it Serie A,25,1998,32,31,2618,29.1,1,0,1,1,0,0,5,0,1.0,1.0,0.0,1.0,19,78,11,0.03,0.00,0.03,0.03,0.03,0.03,0.00,0.03,0.03,0.03
824,Gonzalo Escalante,ar ARG,MF,Cádiz,es La Liga,30,1993,25,18,1697,18.9,1,2,3,1,0,0,2,1,1.9,1.9,1.7,3.6,4,66,14,0.05,0.11,0.16,0.05,0.16,0.10,0.09,0.19,0.10,0.19
825,Aarón Escandell,es ESP,GK,Las Palmas,es La Liga,27,1995,2,1,153,1.7,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
826,Alfonso Espino,uy URU,DF,Rayo Vallecano,es La Liga,31,1992,31,29,2507,27.9,0,1,1,0,0,0,9,0,1.0,1.0,2.8,3.8,41,113,89,0.00,0.04,0.04,0.00,0.04,0.04,0.10,0.14,0.04,0.14
827,Bernardo Espinosa,co COL,DF,Girona,es La Liga,34,1989,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
828,Maxime Estève,fr FRA,DF,Burnley,eng Premier League,21,2002,16,15,1309,14.5,0,0,0,0,0,0,6,0,0.3,0.3,0.0,0.3,15,40,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
829,Maxime Estève,fr FRA,DF,Montpellier,fr Ligue 1,21,2002,12,12,995,11.1,1,1,2,1,0,0,2,0,0.2,0.2,0.3,0.5,8,23,10,0.09,0.09,0.18,0.09,0.18,0.02,0.02,0.04,0.02,0.04
830,Oscar Estupiñan,co COL,FW,Metz,fr Ligue 1,26,1996,6,4,260,2.9,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,5,2,8,0.00,0.00,0.00,0.00,0.00,0.18,0.01,0.18,0.18,0.18
831,Pervis Estupiñán,ec ECU,DF,Brighton,eng Premier League,25,1998,19,15,1243,13.8,2,3,5,2,0,0,4,0,1.0,1.0,3.5,4.4,47,83,88,0.14,0.22,0.36,0.14,0.36,0.07,0.25,0.32,0.07,0.32
832,Karl Etta,cm CMR,FW,Cádiz,es La Liga,19,2004,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
833,Jonny Evans,nir NIR,DF,Manchester Utd,eng Premier League,35,1988,23,15,1392,15.5,0,1,1,0,0,0,2,0,0.1,0.1,1.2,1.2,7,37,1,0.00,0.06,0.06,0.00,0.06,0.00,0.08,0.08,0.00,0.08
834,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,eng Premier League,25,1998,27,24,2055,22.8,11,4,15,10,1,1,3,0,9.1,8.3,5.2,13.5,68,93,139,0.48,0.18,0.66,0.44,0.61,0.40,0.23,0.62,0.36,0.59
835,Abde Ezzalzouli,ma MAR,"FW,MF",Barcelona,es La Liga,21,2001,2,0,68,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,7,1,12,0.00,0.00,0.00,0.00,0.00,0.28,0.09,0.37,0.28,0.37
836,Abde Ezzalzouli,ma MAR,FW,Betis,es La Liga,21,2001,26,6,865,9.6,1,0,1,1,0,1,1,0,3.0,2.2,0.3,2.5,57,25,89,0.10,0.00,0.10,0.10,0.10,0.31,0.03,0.34,0.23,0.26
837,Giovanni Fabbian,it ITA,"MF,FW",Bologna,it Serie A,20,2003,27,11,1057,11.7,5,2,7,5,0,0,4,0,4.2,4.2,1.9,6.0,11,17,41,0.43,0.17,0.60,0.43,0.60,0.35,0.16,0.51,0.35,0.51
838,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,38,1985,10,7,721,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
839,Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,22,2001,8,4,437,4.9,0,2,2,0,0,0,1,0,0.4,0.4,0.7,1.1,8,23,15,0.00,0.41,0.41,0.00,0.41,0.08,0.15,0.23,0.08,0.23
840,Romain Faivre,fr FRA,"MF,FW",Bournemouth,eng Premier League,25,1998,5,0,41,0.5,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,4,5,4,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.34,0.34,0.34
841,Romain Faivre,fr FRA,"MF,FW",Lorient,fr Ligue 1,25,1998,17,16,1453,16.1,5,1,6,5,0,0,1,0,2.8,2.8,1.7,4.5,68,102,78,0.31,0.06,0.37,0.31,0.37,0.17,0.10,0.28,0.17,0.28
842,Ilhan Fakili,fr FRA,"MF,FW",Clermont Foot,fr Ligue 1,17,2006,3,1,94,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,4,7,0.00,0.00,0.00,0.00,0.00,0.17,0.03,0.20,0.17,0.20
843,Radamel Falcao,co COL,"FW,DF",Rayo Vallecano,es La Liga,37,1986,22,2,407,4.5,1,0,1,0,1,1,4,0,2.7,2.0,0.3,2.2,7,7,23,0.22,0.00,0.22,0.00,0.00,0.60,0.06,0.67,0.43,0.49
844,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,28,1995,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
845,Fali,es ESP,DF,Cádiz,es La Liga,29,1993,30,30,2547,28.3,0,0,0,0,0,0,12,0,0.8,0.8,0.1,0.9,16,82,10,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
846,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,31,1991,11,7,602,6.7,0,1,1,0,0,0,5,0,0.4,0.4,0.4,0.8,13,28,31,0.00,0.15,0.15,0.00,0.15,0.06,0.05,0.11,0.06,0.11
847,Davide Faraoni,it ITA,DF,Fiorentina,it Serie A,31,1991,8,4,392,4.4,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5,7,17,16,0.00,0.23,0.23,0.00,0.23,0.02,0.08,0.11,0.02,0.11
848,Ansu Fati,es ESP,"MF,FW",Brighton,eng Premier League,20,2002,19,3,521,5.8,2,0,2,2,0,0,2,0,3.4,3.4,0.8,4.2,16,28,50,0.35,0.00,0.35,0.35,0.35,0.59,0.14,0.73,0.59,0.73
849,Ansu Fati,es ESP,"MF,FW",Barcelona,es La Liga,20,2002,3,0,50,0.6,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,6,4,5,0.00,0.00,0.00,0.00,0.00,1.34,0.00,1.34,1.34,1.34
850,Khalil Fayad,fr FRA,"FW,MF",Montpellier,fr Ligue 1,19,2004,23,11,1025,11.4,3,0,3,3,0,0,2,0,1.9,1.9,0.5,2.4,18,35,47,0.26,0.00,0.26,0.26,0.26,0.17,0.04,0.21,0.17,0.21
851,Federico Fazio,ar ARG,DF,Salernitana,it Serie A,36,1987,17,15,1355,15.1,1,0,1,1,0,0,3,1,0.4,0.4,0.1,0.5,2,27,2,0.07,0.00,0.07,0.07,0.07,0.03,0.01,0.03,0.03,0.03
852,Jacopo Fazzini,it ITA,MF,Empoli,it Serie A,20,2003,31,14,1232,13.7,1,1,2,1,0,0,6,0,1.2,1.2,2.3,3.5,24,47,51,0.07,0.07,0.15,0.07,0.15,0.09,0.16,0.26,0.09,0.26
853,Peter Federico,do DOM,"MF,FW",Valencia,es La Liga,21,2002,15,5,649,7.2,0,0,0,0,0,0,1,0,1.7,1.7,1.0,2.7,19,16,48,0.00,0.00,0.00,0.00,0.00,0.24,0.14,0.38,0.24,0.38
854,Nabil Fekir,fr FRA,"MF,FW",Betis,es La Liga,30,1993,19,10,1049,11.7,1,2,3,1,0,0,1,0,2.2,2.2,2.3,4.6,32,67,77,0.09,0.17,0.26,0.09,0.26,0.19,0.20,0.39,0.19,0.39
855,Felipe,br BRA,DF,Nott'ham Forest,eng Premier League,34,1989,7,4,375,4.2,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,1,6,0,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
856,Luiz Felipe,it ITA,DF,Betis,es La Liga,26,1997,4,4,360,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,0,4,0,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.07,0.02,0.07
857,João Félix,pt POR,FW,Barcelona,es La Liga,23,1999,30,18,1540,17.1,7,3,10,7,0,0,3,0,8.7,8.7,3.1,11.9,69,68,169,0.41,0.18,0.58,0.41,0.58,0.51,0.18,0.69,0.51,0.69
858,Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,25,1997,33,33,2921,32.5,2,0,2,2,0,0,5,1,1.4,1.4,0.8,2.2,25,101,6,0.06,0.00,0.06,0.06,0.06,0.04,0.02,0.07,0.04,0.07
859,Kiko Femenía,es ESP,DF,Villarreal,es La Liga,32,1991,23,16,1583,17.6,0,0,0,0,0,0,8,1,0.0,0.0,0.6,0.6,46,100,45,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
860,Evan Ferguson,ie IRL,FW,Brighton,eng Premier League,18,2004,27,15,1367,15.2,6,0,6,6,0,0,1,0,4.6,4.6,0.5,5.1,13,15,62,0.40,0.00,0.40,0.40,0.40,0.30,0.04,0.34,0.30,0.34
861,Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,23,1999,31,31,2712,30.1,6,3,9,6,0,0,8,0,5.4,5.4,2.3,7.7,57,142,138,0.20,0.10,0.30,0.20,0.30,0.18,0.08,0.26,0.18,0.26
862,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,eng Premier League,28,1994,35,35,3118,34.6,10,8,18,6,4,5,9,0,10.0,6.1,11.8,17.8,86,297,182,0.29,0.23,0.52,0.17,0.40,0.29,0.34,0.63,0.18,0.51
863,Edimilson Fernandes,ch SUI,DF,Mainz 05,de Bundesliga,27,1996,21,13,1290,14.3,0,2,2,0,0,0,4,0,0.5,0.5,0.7,1.3,9,53,9,0.00,0.14,0.14,0.00,0.14,0.04,0.05,0.09,0.04,0.09
864,Aitor Fernández,es ESP,GK,Osasuna,es La Liga,32,1991,7,6,551,6.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
865,Álex Fernández,es ESP,MF,Cádiz,es La Liga,30,1992,26,14,1285,14.3,0,1,1,0,0,0,3,0,0.3,0.3,0.8,1.0,11,52,26,0.00,0.07,0.07,0.00,0.07,0.02,0.05,0.07,0.02,0.07
866,Carlos Fernández,es ESP,FW,Real Sociedad,es La Liga,27,1996,10,5,408,4.5,2,1,3,1,1,1,3,0,1.5,0.7,0.5,1.3,5,4,13,0.44,0.22,0.66,0.22,0.44,0.33,0.12,0.45,0.16,0.28
867,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,22,2001,28,26,2209,24.5,3,2,5,2,1,2,7,0,6.2,4.6,3.4,8.0,52,210,54,0.12,0.08,0.20,0.08,0.16,0.25,0.14,0.39,0.19,0.33
868,Raúl Fernández,es ESP,GK,Granada,es La Liga,35,1988,4,4,280,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
869,Valery Fernández,es ESP,"MF,FW",Girona,es La Liga,23,1999,27,2,506,5.6,2,0,2,2,0,0,1,0,0.7,0.7,0.8,1.5,20,12,54,0.36,0.00,0.36,0.36,0.36,0.12,0.14,0.26,0.12,0.26
870,Fernando,es ESP,GK,Almería,es La Liga,33,1990,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
871,Fernando,br BRA,MF,Sevilla,es La Liga,36,1987,8,5,459,5.1,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,5,24,7,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
872,Ichem Ferrah,fr FRA,FW,Lille,fr Ligue 1,17,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
873,Andrea Ferraris,it ITA,MF,Monza,it Serie A,20,2003,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
874,André Ferreira,pt POR,GK,Granada,es La Liga,27,1996,15,14,1340,14.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
875,João Ferreira,pt POR,DF,Udinese,it Serie A,22,2001,35,18,1822,20.2,0,1,1,0,0,0,9,0,0.1,0.1,0.9,1.0,19,61,45,0.00,0.05,0.05,0.00,0.05,0.01,0.05,0.05,0.01,0.05
876,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,31,1992,30,23,2031,22.6,1,1,2,1,0,0,6,0,0.6,0.6,1.9,2.5,37,173,68,0.04,0.04,0.09,0.04,0.09,0.03,0.09,0.11,0.03,0.11
877,Nacho Ferri,es ESP,"FW,MF",Eint Frankfurt,de Bundesliga,18,2004,8,0,74,0.8,1,0,1,1,0,0,0,0,1.2,1.2,0.0,1.2,0,2,8,1.22,0.00,1.22,1.22,1.22,1.43,0.05,1.48,1.43,1.48
878,Rachad Fettal,ma MAR,FW,Almería,es La Liga,18,2005,1,0,17,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.41,0.12,0.53,0.41,0.53
879,Seydou Fini,it ITA,"DF,FW",Genoa,it Serie A,17,2006,3,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,2,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.34,0.34,0.34
880,Max Finkgräfe,de GER,"DF,FW",Köln,de Bundesliga,19,2004,24,18,1756,19.5,1,0,1,1,0,0,4,0,1.0,1.0,1.6,2.6,51,53,59,0.05,0.00,0.05,0.05,0.05,0.05,0.08,0.13,0.05,0.13
881,Vincenzo Fiorillo,it ITA,GK,Salernitana,it Serie A,33,1990,4,4,360,4.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
882,Kilian Fischer,de GER,"DF,MF",Wolfsburg,de Bundesliga,22,2000,6,4,291,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,6,6,9,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.07,0.03,0.07
883,John Fleck,sct SCO,"MF,DF",Sheffield Utd,eng Premier League,31,1991,4,1,92,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,2,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.44,0.00,0.44
884,Mark Flekken,nl NED,GK,Brentford,eng Premier League,30,1993,37,37,3285,36.5,0,1,1,0,0,0,3,0,0.0,0.0,0.5,0.5,0,5,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01
885,Alessandro Florenzi,it ITA,DF,Milan,it Serie A,32,1991,31,19,1732,19.2,1,4,5,1,0,0,5,0,1.7,1.7,3.4,5.1,29,106,50,0.05,0.21,0.26,0.05,0.26,0.09,0.18,0.26,0.09,0.26
886,Phil Foden,eng ENG,"FW,MF",Manchester City,eng Premier League,23,2000,35,33,2857,31.7,19,8,27,19,0,0,2,0,10.3,10.3,8.4,18.7,93,168,269,0.60,0.25,0.85,0.60,0.85,0.33,0.26,0.59,0.33,0.59
887,Wes Foderingham,eng ENG,GK,Sheffield Utd,eng Premier League,32,1991,30,29,2649,29.4,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
888,Malick Fofana,be BEL,FW,Lyon,fr Ligue 1,18,2005,17,4,559,6.2,3,0,3,3,0,0,0,0,1.8,1.8,0.5,2.4,26,10,60,0.48,0.00,0.48,0.48,0.48,0.29,0.09,0.38,0.29,0.38
889,Youssouf Fofana,fr FRA,MF,Monaco,fr Ligue 1,24,1999,32,31,2697,30.0,4,4,8,4,0,0,3,0,5.0,5.0,3.4,8.4,53,249,86,0.13,0.13,0.27,0.13,0.27,0.17,0.11,0.28,0.17,0.28
890,Jonas Föhrenbach,de GER,DF,Heidenheim,de Bundesliga,27,1996,33,32,2788,31.0,0,0,0,0,0,0,2,0,0.5,0.5,0.8,1.3,44,96,69,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.04,0.02,0.04
891,Thomas Foket,be BEL,DF,Reims,fr Ligue 1,28,1994,27,22,1833,20.4,0,1,1,0,0,0,9,1,0.2,0.2,0.9,1.1,24,65,84,0.00,0.05,0.05,0.00,0.05,0.01,0.04,0.05,0.01,0.05
892,Michael Folorunsho,it ITA,"MF,FW",Hellas Verona,it Serie A,25,1998,34,33,2781,30.9,5,1,6,5,0,0,5,0,4.0,3.9,1.4,5.3,56,54,110,0.16,0.03,0.19,0.16,0.19,0.13,0.04,0.17,0.13,0.17
893,Tiago Fonseca Morais,pt POR,FW,Lille,fr Ligue 1,19,2003,3,0,46,0.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,3,3,2,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.70,0.70,0.70
894,Pablo Fornals,es ESP,"MF,FW",West Ham,eng Premier League,27,1996,15,4,426,4.7,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,4,29,27,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.13,0.07,0.13
895,Pablo Fornals,es ESP,"FW,MF",Betis,es La Liga,27,1996,15,14,1148,12.8,3,2,5,3,0,0,2,0,1.8,1.8,1.6,3.4,37,89,82,0.24,0.16,0.39,0.24,0.39,0.14,0.13,0.27,0.14,0.27
896,Emil Forsberg,se SWE,"MF,FW",RB Leipzig,de Bundesliga,31,1991,14,5,464,5.2,2,1,3,2,0,1,0,0,1.4,0.6,0.9,1.5,8,22,38,0.39,0.19,0.58,0.39,0.58,0.27,0.17,0.44,0.11,0.28
897,Omari Forson,eng ENG,FW,Manchester Utd,eng Premier League,19,2004,4,1,70,0.8,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,1,2,2,0.00,1.29,1.29,0.00,1.29,0.04,0.23,0.27,0.04,0.27
